District,State,No. Of Applications Received,No. Of Applications not Verified,No. Of Applications Verified,No. of Applications Approved,No. of Applications Approved having Aadhar No.,No. of Applications Rejected,No. of Applications Pullback,No. of Applications Closed,No. of Constructed Toilet Photo,No. of Commenced Toilet Photo,No. of Constructed Toilet Photo through Swachhalaya
west Garo Hills,Meghalaya,241,20,166,6,0,55,0         ,0,0,0,0
West Khasi Hills,Meghalaya,22,22,0,0,0,0,0         ,0,0,0,0
Anugul ,Odisha,4425,350,3871,3850,3453,201,0         ,3,596,71,1
Balangir ,Odisha,7644,1343,5931,5366,4036,242,1         ,127,1578,14,2
Baleshwar ,Odisha,9859,1036,8077,8025,6067,685,4         ,57,1864,29,7
Bargarh ,Odisha,5416,189,4943,4858,3600,268,4         ,12,735,8,3
Baudhgarh ,Odisha,3149,1,1233,1012,589,1914,0         ,1,216,6,0
Bhadrak ,Odisha,6898,582,6174,6078,2625,138,0         ,4,1652,310,0
Cuttack ,Odisha,13955,685,12867,12784,8782,371,2         ,30,4554,192,0
Debagarh ,Odisha,3231,210,3014,2318,1361,7,0         ,0,229,41,0
Dhenkanal ,Odisha,9293,3332,5828,5003,3823,112,1         ,20,644,46,6
Gajapati,Odisha,2293,48,2233,1849,1419,11,0         ,1,477,4,0
Ganjam ,Odisha,17213,1638,15129,12568,5634,425,2         ,19,2333,493,4
Jagatsinghapur ,Odisha,7035,140,6844,6826,5057,47,0         ,4,1292,124,2
Jajapur ,Odisha,2424,916,1499,1481,272,6,1         ,2,100,2,0
Jharsuguda ,Odisha,10794,737,9844,8611,2926,183,2         ,28,1757,866,8
Kalahandi,Odisha,6580,139,6339,5855,1626,98,2         ,2,1184,20,0
Kandhamal,Odisha,3755,280,3361,3253,444,110,0         ,4,902,246,0
Kendrapara ,Odisha,4723,1290,3381,3151,2967,51,0         ,1,576,9,1
Kendujhar ,Odisha,11571,2069,9425,7994,5159,68,3         ,6,1471,90,2
Khordha ,Odisha,35041,2214,24022,23675,4397,8768,0         ,37,7688,2103,1
Koraput ,Odisha,7532,273,7017,6962,1724,190,1         ,51,748,171,0
Malkangiri ,Odisha,2205,62,2130,1932,713,10,0         ,3,495,4,1
Mayurbhanj,Odisha,7290,189,6887,6577,2983,145,0         ,69,1401,54,1
Nabarangapur ,Odisha,3448,5,3423,2455,2024,19,1         ,0,191,59,0
Naupada,Odisha,3070,290,2659,2640,1706,121,0         ,0,641,104,0
Nayagarh ,Odisha,3287,777,2339,1914,1298,155,7         ,9,559,33,1
Puri ,Odisha,10115,1200,8767,8281,6083,132,1         ,15,2123,420,2
Rayagada ,Odisha,4251,247,3780,3742,3389,214,1         ,9,792,183,0
Sambalpur,Odisha,13011,381,12451,11625,816,163,1         ,15,432,36,1
Subarnpur,Odisha,4690,1198,2743,2515,1861,749,0         ,0,339,2,0
Sundargarh ,Odisha,17272,114,16214,15739,4587,671,1         ,272,3548,1507,0
Baksa,Assam,0,0,0,0,0,0,0         ,0,0,0,0
Barpeta Road ,Assam,964,880,50,50,0,10,3         ,21,0,16,1
Bongaigaon,Assam,1200,296,878,285,0,15,0         ,11,12,40,1
Cachar,Assam,2683,2679,0,0,0,0,1         ,3,0,0,0
Chairang,Assam,157,141,0,0,0,0,1         ,15,0,0,1
Darrang,Assam,601,407,159,110,0,0,1         ,34,35,25,0
Dhemaji ,Assam,2091,1746,340,66,0,0,1         ,4,3,0,0
Dhubri ,Assam,10762,8971,963,4,0,1,5         ,822,33,30,2
Dibrugarh,Assam,3010,1821,1153,126,0,33,0         ,3,0,0,0
Dima Hassao,Assam,2457,1163,585,0,0,4,0         ,705,2,0,0
Goalpara ,Assam,1436,1095,295,0,0,2,1         ,43,210,0,0
Golaghat,Assam,65549,43044,318,171,1,6082,0         ,16105,62,2,0
Hailakandi,Assam,1705,1575,86,47,0,18,6         ,20,2,2,6
Jorhat ,Assam,5921,4968,457,82,0,0,4         ,492,55,8,2
Kamrup,Assam,378,322,0,0,0,0,1         ,55,0,0,2
Kamrup Metropolitian,Assam,11622,4841,6777,6777,1,0,3         ,1,281,83,27
Karbi Anlong,Assam,69436,35428,90,0,0,1739,11        ,32168,6,4,11
Karimganj ,Assam,830,764,10,0,0,0,2         ,54,2,1,0
Kokrajhar ,Assam,34,21,0,0,0,0,1         ,12,0,0,0
Majuli,Assam,0,0,0,0,0,0,0         ,0,0,0,0
Marigaon ,Assam,3692,954,0,0,0,0,3         ,2735,2,1,0
Nagaon ,Assam,55496,18427,1797,450,5,2028,21        ,33223,267,14,6
Nalbari ,Assam,847,722,0,0,0,0,0         ,125,1,2,0
North Lakhimpur ,Assam,2275,1464,788,305,0,1,3         ,19,2,0,4
Sibsagar ,Assam,1982,1849,101,11,0,26,0         ,6,1,0,0
Sonitpur,Assam,1782,1332,0,0,0,0,2         ,448,2,0,16
Tinsukia ,Assam,326,258,65,0,0,3,0         ,0,2,4,1
Udalguri ,Assam,1163,497,1,0,0,0,1         ,664,98,0,0
Lakshadweep,Lakshadweep,0,0,0,0,0,0,0         ,0,0,0,0
Bishnupur ,Manipur ,5034,1251,3365,2683,2432,282,2         ,134,1417,41,0
Chandel,Manipur ,0,0,0,0,0,0,0         ,0,0,0,0
Imphal East,Manipur ,7257,603,6509,5350,3471,135,0         ,10,1381,110,0
Imphal west,Manipur ,6430,2132,4130,2947,2855,164,4         ,0,669,108,2
Thoubal ,Manipur ,6374,1727,4412,3372,2273,227,6         ,2,972,497,6
Ahmadnagar ,Maharashtra,28715,424,26890,22285,11938,1027,9         ,365,17819,147,5
Akola ,Maharashtra,29630,3145,25518,9898,6521,957,6         ,4,21544,473,1
Amravati ,Maharashtra,38475,1746,33219,31371,23601,3420,7         ,83,26362,659,6
Aurangabad ,Maharashtra,28142,1500,22854,22798,14762,3753,12        ,23,18027,294,9
Beed,Maharashtra,36765,7926,24585,20776,16523,4221,25        ,8,19247,1992,10
Bhandara ,Maharashtra,6759,23,6075,5989,3302,641,1         ,19,5213,274,1
Buldana ,Maharashtra,40460,4668,32042,30735,20543,3344,10        ,396,22297,1228,13
Chandrapur ,Maharashtra,32551,918,29877,29420,18836,1717,1         ,38,22911,1754,2
Dhule ,Maharashtra,16355,2235,9301,8413,4791,4802,8         ,9,7784,150,12
Gadchiroli ,Maharashtra,17250,814,14448,13553,11497,1366,11        ,611,9096,1420,11
Gondiya ,Maharashtra,10113,200,8569,7412,6461,1337,6         ,1,5861,473,5
Hingoli ,Maharashtra,16272,2917,10728,9635,6410,2566,26        ,35,8517,147,11
Jalgaon ,Maharashtra,41755,4019,35821,32400,26247,1857,27        ,31,24088,358,15
Jalna ,Maharashtra,31399,8896,21264,17298,14446,1198,26        ,15,14042,1829,52
Kolhapur ,Maharashtra,9417,330,7399,6638,3789,1428,6         ,254,5592,31,4
Latur ,Maharashtra,35358,1045,28882,26934,20099,5405,7         ,19,22104,542,19
Mumbai,Maharashtra,3792,30,3340,2044,1870,402,11        ,9,507,6,17
Mumbai Suburban,Maharashtra,14638,46,12341,8979,8101,2177,10        ,64,1371,120,11
Nagpur ,Maharashtra,43941,512,27804,26769,21975,13899,14        ,1712,23696,715,28
Nanded Waghala ,Maharashtra,49062,6122,33079,29731,22209,9802,26        ,33,25212,1700,129
Nandurbar,Maharashtra,9466,2036,7102,5853,3517,323,3         ,2,7180,7,4
Nashik,Maharashtra,53016,1951,50390,32900,22615,645,4         ,26,24126,648,8
Osmanabad ,Maharashtra,22360,2018,18371,16797,11753,1937,2         ,32,12766,331,6
Palghar,Maharashtra,26620,480,25324,16531,15340,785,2         ,29,16286,30,0
Parbhani,Maharashtra,46579,9132,34282,31277,26861,3138,20        ,7,18738,3452,12
Pune ,Maharashtra,77877,4365,61123,60492,55992,8176,30        ,4183,58668,221,26
Raigadh,Maharashtra,13873,2357,8152,6654,3015,1463,1         ,1900,5513,170,5
Ratnagiri,Maharashtra,4483,176,2211,2128,2066,367,1         ,1728,1962,8,0
Sangli ,Maharashtra,14469,938,10650,10480,8981,2874,2         ,5,8442,377,8
Satara ,Maharashtra,7220,1511,5105,5000,4940,555,3         ,46,4266,22,6
Sindhudurga,Maharashtra,831,11,702,611,511,99,1         ,18,614,2,1
Solapur ,Maharashtra,52698,2767,40579,38798,24402,9249,15        ,88,27301,527,14
Thane ,Maharashtra,40891,4312,31713,28989,24092,3616,27        ,1223,24419,320,9
Wardha ,Maharashtra,13931,1015,11622,7618,5771,1278,5         ,11,9197,962,8
Washim ,Maharashtra,18897,74,16507,14318,10147,2270,6         ,40,11316,842,6
Yavatmal ,Maharashtra,34010,3941,27713,26264,19163,2315,14        ,27,20710,902,13
Ajmer ,Rajasthan,13179,84,10914,10652,10072,2165,3         ,13,9144,74,13
Alwar ,Rajasthan,13140,47,10552,10552,8619,1389,5         ,1147,8305,151,14
Banswara ,Rajasthan,3540,1,2844,2844,1532,687,5         ,3,1969,128,9
Baran ,Rajasthan,12419,274,10100,10073,7845,1753,4         ,288,5936,330,8
Barmer,Rajasthan,11559,467,10346,10320,5903,704,6         ,36,9732,23,26
Bharatpur ,Rajasthan,22447,1831,19613,17802,11041,845,5         ,153,12024,1063,23
Bhilwara,Rajasthan,13938,109,12885,11791,8644,931,7         ,6,6188,250,11
Bikaner ,Rajasthan,17121,287,5291,5291,5171,11004,3         ,536,4872,1,8
Bundi ,Rajasthan,13877,263,11913,11522,6620,1352,4         ,345,9644,348,9
Chittaurgarh ,Rajasthan,9242,173,8133,8063,3792,723,0         ,213,7642,100,3
Churu ,Rajasthan,17786,1014,13560,13489,7310,3022,15        ,175,12070,403,14
Dausa ,Rajasthan,8885,799,6297,5634,4414,1356,22        ,411,5323,122,22
Dhaulpur,Rajasthan,16019,4457,9911,9105,4148,1622,13        ,16,8861,172,18
Dungarpur ,Rajasthan,3655,35,3176,3176,3031,79,2         ,363,3242,5,2
Ganganagar ,Rajasthan,18504,8,13953,13953,8910,4534,3         ,6,12953,41,24
Hanumangarh ,Rajasthan,24880,96,19294,19293,17126,1958,2         ,3530,17512,84,10
Jaipur ,Rajasthan,36072,443,27587,27587,14243,5658,14        ,2370,27163,28,114
Jaisalmer,Rajasthan,2604,837,1673,1479,958,90,2         ,2,1285,106,2
Jalor,Rajasthan,10185,207,9627,9012,5812,341,8         ,2,6570,214,16
Jhalawar ,Rajasthan,7743,67,6893,6811,5582,766,3         ,14,5317,248,15
Jhunjhunun ,Rajasthan,12006,581,9925,9758,5189,1086,9         ,405,8803,63,20
Jodhpur ,Rajasthan,13818,989,9459,9365,3667,3342,11        ,17,6520,975,23
Karauli ,Rajasthan,16432,5503,10250,10089,4225,655,9         ,15,6958,269,15
Kota ,Rajasthan,32661,353,20365,20360,17628,10145,14        ,1784,10321,473,25
Nagaur,Rajasthan,20093,1854,16588,16368,11056,1619,11        ,21,15148,672,248
Pali,Rajasthan,22389,381,19974,19749,15281,2013,7         ,14,11711,330,20
Pratapgarh ,Rajasthan,1775,1,1622,1622,638,77,1         ,74,1358,0,5
Rajsamand ,Rajasthan,3903,132,3687,3520,3187,77,1         ,6,2308,61,3
Sawai Madhopur ,Rajasthan,9511,6,9078,9078,4886,137,6         ,284,7742,124,13
Sikar ,Rajasthan,12338,727,10122,9965,7885,697,9         ,783,8701,159,40
Sirohi,Rajasthan,4316,766,3332,3157,2122,217,1         ,0,1603,296,10
Tonk ,Rajasthan,18293,2644,14470,10731,8289,1125,2         ,52,9361,81,8
Udaipur ,Rajasthan,6798,715,5541,5249,4176,383,1         ,158,4909,81,4
Bokaro,Jharkhand,12007,3,9983,9983,9477,1060,1         ,960,9999,9,3
Chatra ,Jharkhand,3164,0,2845,2845,2823,0,0         ,319,2845,0,41
Deoghar  ,Jharkhand,15733,6,14020,14020,12992,889,5         ,813,14027,2,5
Dhanbad ,Jharkhand,70489,1027,45997,45997,44397,2892,23        ,20550,46000,8,93
Dumka ,Jharkhand,3896,12,3449,3449,3118,235,1         ,199,3451,0,1
Garhwa ,Jharkhand,8820,7,7774,7774,6836,465,6         ,568,7786,0,1
Giridih ,Jharkhand,2856,0,2224,2224,2201,47,1         ,584,2224,0,2
Godda ,Jharkhand,2403,6,2232,2232,2228,63,2         ,100,2229,6,7
Gumla ,Jharkhand,2862,0,2732,2732,2682,110,0         ,20,2738,0,0
Hazaribag ,Jharkhand,3710,11,2578,2578,2525,716,1         ,404,2595,6,4
Jamtara ,Jharkhand,4601,1,3694,3694,3644,155,0         ,751,3696,1,1
Khunti ,Jharkhand,2344,1,2218,2218,2172,1,1         ,123,2220,0,1
Kodarma ,Jharkhand,7822,7,7315,7315,4994,90,2         ,408,7317,1,0
Latehar ,Jharkhand,1765,3,1688,1688,738,53,0         ,21,1713,0,7
Lohardaga ,Jharkhand,2254,0,1983,1983,1962,51,1         ,219,1996,0,0
Pakaur ,Jharkhand,2626,0,2387,2387,2206,187,0         ,52,2387,0,1
Palamu,Jharkhand,11947,8,9926,9926,6198,1304,3         ,706,9964,0,10
Paschimi Sighbhum,Jharkhand,5489,1,5126,5126,4503,357,1         ,4,5127,11,1
Purbi Singhbhum,Jharkhand,21320,28,18984,18984,11761,2132,1         ,175,18982,25,3
Ramgarh,Jharkhand,14236,2,11981,11981,11937,588,3         ,1662,12005,0,0
Ranchi ,Jharkhand,39747,21,33334,33334,31672,2508,3         ,3881,33335,0,8
Sahibganj ,Jharkhand,9476,1,8116,8116,5808,953,0         ,406,8124,0,3
Seraikela ,Jharkhand,7595,10,7306,7306,1338,71,1         ,207,7317,1,1
Simdega ,Jharkhand,2139,1,2014,2014,1854,23,0         ,101,2006,3,0
Alappuzha,Kerala,3718,1599,1797,1764,1424,269,0         ,53,1265,162,2
Ernakulam,Kerala,6136,3210,2531,2402,2149,392,2         ,1,1773,172,0
Idukki,Kerala,560,21,441,441,415,2,0         ,96,299,0,0
Kannur,Kerala,1399,327,1005,852,623,54,0         ,13,323,1,1
Kasaragod ,Kerala,861,58,764,573,555,18,0         ,21,596,58,0
Kollam ,Kerala,6148,385,3382,3272,2496,2340,0         ,41,1984,407,23
Kottayam ,Kerala,3227,1721,1376,1327,1120,120,2         ,8,1137,66,182
Kozhikode ,Kerala,3108,427,2642,2518,2415,32,0         ,7,1659,65,26
Malappuram ,Kerala,3842,1059,2159,1955,1690,612,6         ,6,1703,60,5
Palakkad ,Kerala,2835,671,1247,947,828,885,1         ,31,551,18,30
Pathanamthitta ,Kerala,1628,564,1042,1007,889,21,0         ,1,562,7,0
Thiruvananthapuram ,Kerala,6757,61,6094,5918,5038,380,16        ,206,5375,17,72
Thrissur ,Kerala,3841,1071,2502,876,799,255,1         ,12,641,118,0
Waynad,Kerala,894,74,794,504,449,7,1         ,18,634,15,0
Aizawl ,Mizoram,295,1,288,288,20,6,0         ,0,271,1,0
Champhai ,Mizoram,208,0,208,33,33,0,0         ,0,0,0,0
Kolasib,Mizoram,139,138,1,1,1,0,0         ,0,0,0,0
Lawngtlai       ,Mizoram,288,0,288,288,288,0,0         ,0,288,0,0
Lunglei ,Mizoram,165,0,162,162,162,0,3         ,0,0,0,0
Mamit,Mizoram,132,0,132,131,131,0,0         ,0,131,0,0
Saiha ,Mizoram,24,2,22,22,22,0,0         ,0,0,0,0
Serchhip ,Mizoram,393,10,247,247,247,48,0         ,88,179,25,0
Adilabad,Telangana,18587,7939,10642,10642,9745,0,0         ,6,10646,0,0
Hyderabad,Telangana,8833,5656,3177,3177,3161,0,0         ,0,3178,0,0
Karimnagar ,Telangana,17431,6559,10872,10872,10519,0,0         ,0,10874,1,1
Khammam ,Telangana,16358,5532,10824,10824,10235,0,2         ,0,10829,0,1
Mahbubnagar ,Telangana,18045,7955,10089,10089,9841,0,1         ,0,10093,1,4
Medak ,Telangana,13134,5975,7158,7158,6997,0,0         ,1,7159,0,10
Medchal,Telangana,339,136,203,203,196,0,0         ,0,204,0,0
Nagarkurnool,Telangana,2680,925,1754,1754,1691,0,1         ,0,1755,1,0
Nalgonda ,Telangana,11361,5725,5632,5632,5070,0,4         ,0,5635,1,3
Nirmal,Telangana,6985,3795,3189,3189,3171,0,1         ,0,3192,1,0
Nizamabad,Telangana,12637,4358,8279,8279,8018,0,0         ,0,8280,0,1
Rangareddy,Telangana,8964,4532,4430,4430,4177,0,1         ,1,4438,1,1
Siddipet,Telangana,6273,1272,5000,5000,4793,0,1         ,0,5002,0,0
Sircilla,Telangana,7361,2627,4734,4734,4670,0,0         ,0,4734,0,0
Suryapet,Telangana,7139,1405,5734,5734,5556,0,0         ,0,5735,0,0
Warangal ,Telangana,64395,35161,29229,29229,28535,0,4         ,1,29243,6,4
Yadadri,Telangana,1223,342,881,881,879,0,0         ,0,881,0,0
Karaikal ,Puducherry ,3357,6,2162,2133,1741,1150,0         ,39,168,0,0
Mahe ,Puducherry ,69,0,68,68,67,1,0         ,0,64,0,0
Puducherry ,Puducherry ,5821,735,4510,4383,4299,564,10        ,2,1242,68,2
Yanam ,Puducherry ,1,0,0,0,0,0,0         ,1,0,0,0
Bagalkot ,Karnataka,16405,790,14281,13126,11621,1071,2         ,261,8004,2756,1
Bangalore Rural,Karnataka,3361,229,3041,2979,2559,89,2         ,0,1832,138,0
Bangalore Urban,Karnataka,4839,340,3328,3172,3005,1161,2         ,8,285,57,0
Belgaum ,Karnataka,19315,1816,16174,15108,12883,1078,11        ,236,6319,1132,0
Bellary ,Karnataka,42584,4977,35423,31258,26051,2173,2         ,9,12103,841,0
Bidar,Karnataka,15619,3796,10155,9367,8018,1655,11        ,2,3951,1617,0
Bijapur ,Karnataka,24063,6496,16871,14740,12135,683,12        ,1,4834,843,0
Chamarajanagar ,Karnataka,6711,68,5960,5882,5640,229,0         ,454,2819,314,0
Chikkaballapura ,Karnataka,8028,478,7190,6710,4970,357,1         ,2,4998,802,0
Chikmagalur ,Karnataka,2655,49,2393,2385,2110,211,2         ,0,1283,180,0
Chitradurga ,Karnataka,14578,251,13030,12927,8993,1278,8         ,11,5063,2389,0
Dakshin Kannada,Karnataka,1265,35,962,945,687,204,0         ,64,924,19,0
Davanagere ,Karnataka,14607,544,9039,8326,3899,4980,1         ,43,4600,867,0
Gadag-Betigeri,Karnataka,26857,1827,24564,23564,16119,453,5         ,8,5064,6320,0
Gulbarga ,Karnataka,21615,5441,13546,12220,9741,2610,14        ,4,4104,772,0
Hassan ,Karnataka,2459,39,2291,2272,2055,128,1         ,0,1595,64,0
Haveri ,Karnataka,14350,1219,12586,11889,10164,518,4         ,23,10668,832,0
Hubli-Dharwad ,Karnataka,30459,295,29594,29323,26764,543,2         ,25,16966,2709,0
Kodagu,Karnataka,624,8,570,569,479,46,0         ,0,435,15,0
Kolar ,Karnataka,15648,2980,10427,10364,8137,2236,2         ,3,8436,866,0
Koppal ,Karnataka,16386,2282,13307,11710,8147,792,3         ,2,2545,294,0
Mandya ,Karnataka,4254,143,3852,3834,2813,240,5         ,14,2199,316,0
Mysore ,Karnataka,8346,8,7637,7626,7419,576,1         ,124,4594,786,0
Raichur ,Karnataka,29866,800,24790,24338,9477,4272,2         ,2,5216,2513,0
Ramanagara ,Karnataka,5049,3,4480,4478,2963,532,0         ,34,3477,350,0
Shimoga ,Karnataka,9278,89,7042,6965,5303,2039,1         ,107,3955,805,0
Tumkur ,Karnataka,14829,122,11531,11524,9337,2243,0         ,933,5730,1283,0
Udupi ,Karnataka,538,30,438,404,321,24,0         ,46,353,65,0
Uttara Kannada,Karnataka,8901,182,8164,7827,6614,543,0         ,12,4369,1159,0
Yadgir ,Karnataka,13110,2823,10030,8936,7032,242,10        ,5,2271,484,0
